,wealth
2019-05-07,2.184228971149147
2019-05-08,2.180556222591721
2019-05-09,2.1602035153063976
2019-05-10,2.1489583361411313
2019-05-13,2.072436466402722
2019-05-14,2.09226608157691
2019-05-15,2.1275481673575074
2019-05-16,2.1689586719247242
2019-05-17,2.1251034274112333
2019-05-20,2.1136991519056973
2019-05-21,2.112050414150432
2019-05-22,2.114506431372734
2019-05-23,2.064249857992751
2019-05-24,2.0731186548541274
2019-05-28,2.088070587901457
2019-05-29,2.0684682532133682
2019-05-30,2.0652049565240294
2019-05-31,2.0183025920278244
2019-06-03,1.9246342313270748
2019-06-04,1.9665563772328452
2019-06-05,1.9767215403477565
2019-06-06,1.9947547721989918
2019-06-07,2.0512308500565877
2019-06-10,2.115586620919644
2019-06-11,2.1190771980950815
2019-06-12,2.10954894083091
2019-06-13,2.126581618053647
2019-06-14,2.1258652507810503
2019-06-17,2.1444670308406413
2019-06-18,2.1619089864349106
2019-06-19,2.170345776876145
2019-06-20,2.1810338586056375
2019-06-21,2.1731997951939515
2019-06-24,2.1761560029822253
2019-06-25,2.135643690076485
2019-06-26,2.157884039872309
2019-06-27,2.1652177392214695
2019-06-28,2.153108547215919
2019-07-01,2.1855818972793752
2019-07-02,2.1993627285853554
2019-07-03,2.20469531867752
2019-07-05,2.2091411678807904
2019-07-08,2.2198405268863106
2019-07-09,2.260750840887556
2019-07-10,2.29384964602917
2019-07-11,2.275270594018189
2019-07-12,2.2865614027772296
2019-07-15,2.2979202221855455
2019-07-16,2.2853106661174687
2019-07-17,2.264991964156783
2019-07-18,2.2489256627413514
2019-07-19,2.233712270386731
2019-07-22,2.2577149981808704
2019-07-23,2.2677890756047874
2019-07-24,2.2749749558897063
2019-07-25,2.2442867118731744
2019-07-26,2.2093002642210595
2019-07-29,2.17450726522696
2019-07-30,2.1586798685667636
2019-07-31,2.1225792260431016
2019-08-01,2.10954894083091
2019-08-02,2.0730731987569078
2019-08-05,2.0070005059927563
2019-08-06,2.03281106788243
2019-08-07,2.0391442126030923
2019-08-08,2.084045467842301
2019-08-09,2.0552672473917712
2019-08-12,2.0295023150958715
2019-08-13,2.0743239354166687
2019-08-14,2.004533211494426
2019-08-15,2.019496421817784
2019-08-16,2.038200564844396
2019-08-19,2.064977502541376
2019-08-20,2.0482177353985116
2019-08-21,2.07341429298261
2019-08-22,2.0519472173291846
2019-08-23,1.9893652752370257
2019-08-26,2.0112529065380107
2019-08-27,2.003248296013473
2019-08-28,2.005999951364258
2019-08-29,2.031185058175774
2019-08-30,2.019689696979245
2019-09-03,2.0350963644953266
2019-09-04,2.047353549061673
2019-09-05,2.0929484435248695
2019-09-06,2.0847503843423163
2019-09-09,2.082294367120014
2019-09-10,2.0700144545050576
2019-09-11,2.0727888379044526
2019-09-12,2.0961661106204343
2019-09-13,2.091379340688016
2019-09-16,2.055562885520254
2019-09-17,2.0722886473384805
2019-09-18,2.06650114928101
2019-09-19,2.0710946440519673
2019-09-20,2.040008398939931
2019-09-23,2.0299343215160133
2019-09-24,2.004257202494248
2019-09-25,2.0331435478640887
2019-09-26,2.035769106656039
2019-09-27,2.009362757643097
2019-09-30,2.0283288812826856
2019-10-01,1.999734133388253
2019-10-02,1.9644290990196065
2019-10-03,1.9882089440299808
2019-10-04,2.015052689256035
2019-10-07,2.0004643085900464
2019-10-08,1.9793094316149855
2019-10-09,2.0168039282270676
2019-10-10,2.029350653959887
2019-10-11,2.0378128883130966
2019-10-14,2.035916559512323
2019-10-15,2.065385863530327
2019-10-16,2.0484623400345257
2019-10-17,2.037957978142838
2019-10-18,2.0046945987073608
2019-10-21,2.019575522059376
2019-10-22,1.9895223141825917
2019-10-23,2.002214838653116
2019-10-24,2.041604364401372
2019-10-25,2.0531307352729162
2019-10-28,2.1036089993769496
2019-10-29,2.0837678470084806
2019-10-30,2.1097363272030005
2019-10-31,2.0916464138055644
2019-11-01,2.0967522052570673
2019-11-04,2.10886129847412
2019-11-05,2.107548400926818
2019-11-06,2.101712434273521
2019-11-07,2.1046305357514967
2019-11-08,2.1294319171364187
2019-11-11,2.131620552320564
2019-11-12,2.1456262106410446
2019-11-13,2.1491270344645286
2019-11-14,2.160069501477292
2019-11-15,2.1879343104725852
2019-11-18,2.193332644610115
2019-11-19,2.1940621109039453
2019-11-20,2.190255984051103
2019-11-21,2.1882058222223786
2019-11-22,2.1898169337194098
2019-11-25,2.213823865580568
2019-11-26,2.2255352614304305
2019-11-27,2.2297806749176203
2019-11-29,2.2160202987523054
2019-12-02,2.1892313757420494
2019-12-03,2.185717791575233
2019-12-04,2.193623060572252
2019-12-05,2.19479346761901
2019-12-06,2.221436591891562
2019-12-09,2.2157277560662796
2019-12-10,2.2123606795451303
2019-12-11,2.22070428996588
2019-12-12,2.243248981002218
2019-12-13,2.2621326350154547
2019-12-16,2.276770402936193
