symbol,tf,variant,signal_ms,entry_ms,exit_ms,tclass,side,e,s,t,exit_price,reason,R
XRPUSDT,5,fixed,1787428199999,1787428200000,1787429099999,NORMAL,L,1.5042,1.4973,1.5200699999999998,1.4973,SL,-1.0
XRPUSDT,5,fixed,1787640899999,1787640900000,1787641499999,NORMAL,S,1.5,1.5053,1.4878099999999999,1.5053,SL,-1.0
XRPUSDT,5,fixed,1787755799999,1787755800000,1787758199999,NORMAL,S,1.3705,1.3776,1.3541700000000003,1.3776,SL,-1.0
XRPUSDT,5,fixed,1788082799999,1788082800000,1788083099999,NORMAL,S,1.3853,1.3871,1.38116,1.38116,TP,2.3
XRPUSDT,5,fixed,1788161999999,1788162000000,1788162299999,NORMAL,L,1.3698,1.3671,1.3760099999999997,1.3671,SL,-1.0
XRPUSDT,5,fixed,1788228599999,1788228600000,1788232199999,NORMAL,S,1.3724,1.3764,1.3632,1.3764,SL,-1.0
XRPUSDT,5,fixed,1788820199999,1788820200000,1788821099999,NORMAL,S,1.391,1.395,1.3818,1.3818,TP,2.3
XRPUSDT,5,fixed,1789502999999,1789503000000,1789505699999,T-1,S,1.2833,1.2943,1.2580000000000005,1.2943,SL,-1.0
XRPUSDT,15,canonical,1787171399999,1787171400000,1787173199999,NORMAL,L,1.0815,1.072,1.1033499999999996,1.1033499999999996,TP,2.3
XRPUSDT,15,fixed,1787171399999,1787171400000,1787173199999,NORMAL,L,1.0815,1.072,1.1033499999999996,1.1033499999999996,TP,2.3
XRPUSDT,30,canonical,1787493599999,1787493600000,1787497199999,NORMAL,L,1.5246,1.502,1.5765799999999999,1.502,SL,-1.0
XRPUSDT,30,canonical,1789712999999,1789713000000,1789721999999,T+1,L,1.3233,1.3176,1.3364099999999994,1.3364099999999994,TP,2.3
XRPUSDT,30,fixed,1787493599999,1787493600000,1787497199999,NORMAL,L,1.5246,1.502,1.5765799999999999,1.502,SL,-1.0
XRPUSDT,30,fixed,1789712999999,1789713000000,1789721999999,T+1,L,1.3233,1.3176,1.3364099999999994,1.3364099999999994,TP,2.3
