row,symbol,date,time,old_R,bars_old,tag,line_test,status,setup_exact,canonical_r,canonical_r_rounded_2dp,r_delta,canonical_match_old,match_round_1dp,match_round_2dp,side,exit_reason,entry_time_utc,exit_time_utc,entry,stop,target,exit_price
112,XRP,2023-10-20,12:55,-1.0,10.0,,Hit,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2023-10-20T06:00:00Z,2023-10-20T06:55:00Z,0.5109,0.5123,0.5076800000000001,0.5123
113,XRP,2023-10-13,13:10,-1.0,11.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2023-10-13T06:15:00Z,2023-10-13T07:05:00Z,0.48000000000000004,0.4808,0.47816000000000014,0.4808
114,XRP,2023-10-06,13:35,-1.0,13.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
115,SUI,2025-12-19,13:35,2.3,6.0,T+1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,LONG,TP,2025-12-19T06:40:00Z,2025-12-19T07:00:00Z,1.3976000000000002,1.3903,1.4143900000000005,1.4144
116,XRP,2026-01-03,13:40,2.3,8.0,,Ok,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2026-01-03T06:45:00Z,2026-01-03T07:15:00Z,2.0169,2.0231,2.002640000000001,2.0026
117,ETH,2025-12-19,13:55,-0.7,18.0,T+1,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
118,XRP,2023-08-18,14:00,-1.0,6.0,Zone 2,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
119,XRP,2025-11-23,14:00,-0.7,13.0,Zone 2,,CANONICAL_WR_TRADE,True,-0.40425531914892615,-0.4,0.2957446808510738,False,False,False,SHORT,EMA,2025-11-23T07:05:00Z,2025-11-23T08:05:00Z,2.0305,2.0399000000000003,2.008879999999999,2.0343
120,XRP,2025-12-07,14:05,2.3,6.0,Zone 2,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
121,SOL,2025-11-21,14:15,2.3,3.0,Zone 2,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-11-21T07:20:00Z,2025-11-21T07:30:00Z,129.679,130.501,127.7884,127.788
122,ETH,2025-11-21,14:15,2.3,3.0,Zone 2,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
123,XRP,2025-12-29,14:15,-1.0,4.0,Zone 2,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-29T07:20:00Z,2025-12-29T07:35:00Z,1.8929,1.8982,1.8807099999999999,1.8982
124,SOL,2026-01-01,14:15,2.3,9.0,Zone 2,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2026-01-01T07:20:00Z,2026-01-01T07:45:00Z,124.709,124.851,124.38240000000002,124.382
125,BTC,2025-11-21,14:20,2.3,,,,SETUP_ELIGIBLE_BUT_NO_CANONICAL_TRADE,True,,,,,,,,,,,,,,
126,XRP,2025-11-10,14:35,-1.0,12.0,Zone 2,,CANONICAL_WR_TRADE,True,-0.8500000000000166,-0.85,0.14999999999998337,False,False,False,LONG,EMA,2025-11-10T07:40:00Z,2025-11-10T08:35:00Z,2.4803,2.4683,2.5079000000000002,2.4701
127,SUI,2025-11-02,14:40,-1.0,10.0,Zone 2,,CANONICAL_WR_TRADE,True,-0.7027027027027384,-0.7,0.2972972972972616,False,False,False,LONG,EMA,2025-11-02T07:45:00Z,2025-11-02T08:40:00Z,2.3835,2.3761,2.40052,2.3783
128,SUI,2025-11-30,14:45,2.3,7.0,Zone 2,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
129,XRP,2023-08-11,15:25,-1.0,5.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
130,XRP,2025-11-18,15:30,-1.0,10.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
131,BTC,2025-11-25,15:45,-0.7,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
132,XRP,2023-10-18,15:45,-1.0,7.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
133,SUI,2025-11-01,15:50,-1.0,2.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2025-11-01T08:55:00Z,2025-11-01T08:55:00Z,2.3914,2.3849,2.4063499999999998,2.3849
134,ETH,2025-12-05,16:05,2.3,3.0,Zone 2,Ok,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-05T09:10:00Z,2025-12-05T09:15:00Z,3144.02,3151.6,3126.5860000000002,3126.58
135,XRP,2025-12-10,16:05,-1.0,4.0,Zone 2,Ok,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-12-10T09:10:00Z,2025-12-10T09:30:00Z,2.0731,2.0755,2.067580000000001,2.0755
136,BTC,2025-11-27,16:15,-1.0,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
137,XRP,2025-11-26,16:20,2.3,32.0,Zone 2,Ok,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-11-26T09:25:00Z,2025-11-26T12:00:00Z,2.1791,2.1852,2.16507,2.165
138,DASH,2025-12-05,16:25,-1.0,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
139,ETH,2025-12-29,16:30,2.3,32.0,Zone 2,Ok,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
140,XRP,2025-11-20,16:35,-1.0,4.0,Zone 2,Ok,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,SHORT,SL,2025-11-20T09:40:00Z,2025-11-20T09:50:00Z,2.1159,2.1191,2.1085399999999996,2.1191
