symbol,event_date,surprise_pct,reaction_2session,pre_dd52,pre_mom63,entry_date,entry_open,ret_4w,ret_8w,ret_13w,strong_beat,underreaction,near_consensus
DE,2017-08-18,0.96,-0.06017090925532398,-0.06430181432686266,0.10582014285614272,2017-08-22,104.33240109805925,0.052235919470678516,0.10557505421147306,0.19612506456847356,False,False,True
CRM,2017-08-22,4.57,0.014277213335189165,-0.00789287532382843,0.031706351898333374,2017-08-24,93.17959925650557,0.012379327156356146,0.03724635833580403,0.14354323103144928,False,False,True
INTU,2017-08-22,19.13,-0.0028695849560613773,-0.052492690436475975,0.07157094624043325,2017-08-24,128.4701161383285,0.06815969444787506,0.08687299581526386,0.14091280062500489,True,True,False
MDT,2017-08-22,3.31,-0.04513915708566563,-0.06425686470331327,-0.0004180906513765459,2017-08-24,65.47010191822311,-0.002007052293690248,-0.009329478652500667,0.05088426601104201,False,False,True
LOW,2017-08-23,-2.67,-0.04233698332541602,-0.11601835714002551,-0.07404232190535431,2017-08-25,63.31949742331289,0.07710267414235084,0.10202390795206528,0.10476555952961042,False,False,True
ADSK,2017-08-24,28.57,0.03904202440126525,-0.039913232104121454,-0.016269559032716874,2017-08-28,115.06,-0.04554145663132292,0.03415609247349205,0.12941074222144966,True,False,False
AVGO,2017-08-24,1.8,-0.04409878750194307,-0.007686068518017786,0.07685547488020772,2017-08-28,19.79397209455293,-0.042779291114892204,-0.007172491396610581,0.12748466519973967,False,False,True
ADI,2017-08-30,10.04,0.05179060632585264,-0.11593042667001263,-0.06717052599544582,2017-09-01,72.47602160464565,0.031828159773141795,0.09217777476524902,0.020664467532781172,True,False,False
HPE,2017-09-05,16.2,-0.03773335681578016,-0.03345497953598764,0.07920095793815207,2017-09-07,10.895817132075473,0.0832046699146316,-0.004627200646296958,0.04074801022655894,True,True,False
ORCL,2017-09-14,2.64,-0.07689410142308994,-0.003397508493771295,0.18275155554660594,2017-09-18,43.50077268777157,-0.0016062401528608161,0.012977408844673688,-0.020090969281041038,False,False,True
ADBE,2017-09-19,9.34,-0.03729858124157415,-0.01342706947875083,0.10986818667616682,2017-09-21,150.38,0.017422529591700986,0.1974996675089773,0.160792658598218,False,False,False
FDX,2017-09-19,-18.69,0.02519995128516861,-0.0200261217622002,0.02439779865927738,2017-09-21,194.85406936891653,0.010454647612345047,-0.025227440129103496,0.1395173871355655,False,False,False
CCL,2017-09-26,3.99,0.0028334516091250705,-0.09142848758562505,-0.03220945312942791,2017-09-28,57.708957837501934,0.043092827451512106,0.06529735250303359,0.058598219223091164,False,False,True
MU,2017-09-26,10.09,0.06366360911815483,-0.047265446406439926,0.07292364077563085,2017-09-28,36.36589620653319,0.10524981349914286,0.3227475469546721,0.10686396318671343,True,False,False
NKE,2017-09-26,18.83,-0.010519342546218335,-0.1175795139062048,0.0024940116990326278,2017-09-28,48.36391715751472,0.04052986105532419,0.11875139939100032,0.18859479088054076,True,True,False
